"species","dev_full","dev_no_FRic","unique_FRic","dev_no_FEve","unique_FEve","dev_no_FDiv","unique_FDiv","dev_no_wooddensity_cwm","unique_wooddensity_cwm","dev_no_LA_cwm","unique_LA_cwm","dev_no_height_cwm","unique_height_cwm","dev_no_sp_richness","unique_sp_richness","dev_no_pielou_evenness","unique_pielou_evenness","dev_no_gini_simpson","unique_gini_simpson","dev_no_cover","unique_cover","dev_no_mean_fhd","unique_mean_fhd","dev_no_prop_canopy","unique_prop_canopy"
"Peaceful Dove",0.581684958553659,0.621201247554956,-0.0395162890012966,0.578530271935974,0.0031546866176857,0.581573447004296,0.000111511549363397,0.58101755906991,0.00066739948374972,0.582309684070288,-0.000624725516628732,0.579328515754109,0.00235644279955005,0.582752208621688,-0.00106725006802855,0.580660085721588,0.0010248728320712,0.580294188332246,0.00139077022141332,0.580816006420019,0.000868952133640022,0.581785699824488,-0.00010074127082893,0.581755595805716,-7.06372520563603e-05
"Fairy Martin",0.301605996324725,0.303902308721716,-0.00229631239699168,0.31334402445,-0.0117380281252749,0.288076567472228,0.013529428852497,0.302387532356958,-0.000781536032233632,0.31600870448339,-0.0144027081586653,0.311709116040723,-0.0101031197159984,0.282721730167322,0.0188842661574029,0.305590036045232,-0.00398403972050704,0.311576174876215,-0.00997017855149024,0.314959906568458,-0.0133539102437329,0.315333510072051,-0.0137275137473266,0.306046376447578,-0.0044403801228533
"Superb Lyrebird",0.604614040567285,0.615389552480483,-0.0107755119131983,0.603107454608764,0.00150658595852105,0.605083597036967,-0.000469556469682386,0.604529698497858,8.43420694264241e-05,0.604174999542747,0.000439041024537956,0.604571048770269,4.29917970156124e-05,0.603406417442197,0.00120762312508749,0.604458552814709,0.000155487752575456,0.604274584443149,0.000339456124135551,0.596846303321351,0.00776773724593327,0.604124707266531,0.000489333300753292,0.604378873254065,0.00023516731321982
"Channel-billed Cuckoo",0.442689143063819,0.455460582102546,-0.0127714390387266,0.443397213867278,-0.000708070803459027,0.442637664739196,5.14783246234884e-05,0.442663956554834,2.51865089849201e-05,0.442885837780561,-0.000196694716741719,0.442281415221536,0.000407727842283434,0.442355564222642,0.000333578841177573,0.442896621728087,-0.000207478664267957,0.443912876556947,-0.00122373349312749,0.442291719228519,0.000397423835299837,0.443685275691772,-0.000996132627952451,0.442799744265883,-0.000110601202063465
"Scaly-breasted Lorikeet",0.43487028251428,0.469051479419745,-0.0341811969054657,0.44009811606237,-0.00522783354808981,0.435447653816734,-0.000577371302453888,0.425626864395448,0.00924341811883161,0.441972832225173,-0.00710254971089358,0.443939850764523,-0.00906956825024302,0.452385540937673,-0.0175152584233932,0.427717122300995,0.00715316021328499,0.446635056806772,-0.0117647742924923,0.434021740464732,0.00084854204954754,0.435790123521265,-0.000919841006985722,0.448108798030272,-0.0132385155159921
"Tree Martin",0.162137077649663,0.200590322458112,-0.0384532448084494,0.186235988225038,-0.0240989105753752,0.194311326358818,-0.0321742487091551,0.183464144690653,-0.0213270670409897,0.185597633504354,-0.0234605558546912,0.140954324893462,0.021182752756201,0.160051862321741,0.0020852153279225,0.186022516690057,-0.0238854390403939,0.183938030263285,-0.0218009526136215,0.218994863122566,-0.0568577854729025,0.185821077667523,-0.0236840000178603,0.196351690547595,-0.0342146128979317
"Black-shouldered Kite",0.0634028722990678,0.204466609749257,-0.141063737450189,0.0655346265108906,-0.00213175421182273,0.0675306348879081,-0.0041277625888403,0.0646334753990428,-0.00123060309997496,0.061974600924869,0.00142827137419878,0.0643541658689735,-0.000951293569905684,0.0628924467683201,0.000510425530747774,0.0640095615647445,-0.000606689265676724,0.069174843785763,-0.00577197148669514,0.0622789279956011,0.0011239443034667,0.0577399701941812,0.00566290210488663,0.0623703452407928,0.00103252705827499
"White-winged Chough",0.598136040125468,0.622318457927964,-0.0241824178024969,0.602304903708235,-0.00416886358276769,0.598441742133166,-0.000305702007698305,0.59860126123844,-0.000465221112972758,0.597159284020477,0.000976756104990373,0.600551772419426,-0.00241573229395808,0.597068213598087,0.00106782652738036,0.597233883741096,0.000902156384371411,0.600323429845805,-0.00218738972033716,0.591062073622223,0.00707396650324477,0.590338151858468,0.00779788826699945,0.601931617214103,-0.00379557708863587
"Golden-headed Cisticola",0.335354506762849,0.410043537681307,-0.0746890309184577,0.341611432641097,-0.0062569258782475,0.334738108220466,0.000616398542382601,0.343134352418825,-0.00777984565597578,0.338924865906566,-0.00357035914371717,0.349856241871046,-0.0145017351081966,0.358292259337301,-0.022937752574452,0.3352639807448,9.0526018049264e-05,0.337918357233727,-0.00256385047087826,0.343497772027533,-0.00814326526468401,0.333217212231165,0.00213729453168437,0.339655910355473,-0.00430140359262371
"Little Raven",0.51588168163999,0.544645602167742,-0.0287639205277516,0.509365574595736,0.00651610704425498,0.509736625968138,0.00614505567185275,0.518897282234693,-0.00301560059470218,0.521174389098273,-0.0052927074582827,0.510113801818092,0.00576787982189852,0.506579511861302,0.0093021697786887,0.512444749095869,0.00343693254412147,0.511981031310487,0.00390065032950326,0.515205351769809,0.000676329870181958,0.514828957335015,0.00105272430497516,0.509529235693371,0.00635244594661977
