"species","dev_full","dev_base","dev_no_fd","dev_no_cwm","dev_no_rich","dev_no_struct","unique_total_veg","unique_fd","unique_cwm","unique_richness","unique_structure","dev_no_land","unique_landscape"
"Gray Goshawk",0.136065557422828,0.139330942147993,0.142020509307259,0.136297641527739,0.136956611763346,0.139256931497353,-0.0032653847251658,-0.00595495188443185,-0.000232084104911656,-0.000891054340518421,-0.00319137407452535,0.100187546018949,0.0358780114038783
"Red-backed Fairywren",0.779687070781405,0.798696621292895,0.791261030899289,0.77656322965003,0.775857415779809,0.779212550759289,-0.0190095505114903,-0.0115739601178845,0.00312384113137432,0.00382965500159593,0.000474520022115454,0.551481353626806,0.228205717154599
"Australian Owlet-nightjar",0.40225798844458,0.427164176588115,0.423571795802794,0.405841624486696,0.400403933894075,0.403096089886037,-0.0249061881435353,-0.0213138073582136,-0.00358363604211592,0.00185405455050502,-0.000838101441456851,0.350662012800401,0.0515959756441786
"Yellow-tufted Honeyeater",0.656539422324127,0.640947436760375,0.702774377394918,0.653722903817935,0.643124085295771,0.633898391916956,0.015591985563752,-0.0462349550707912,0.00281651850619113,0.0134153370283556,0.0226410304071707,0.460957432925169,0.195581989398957
"Horsfield's Bronze-Cuckoo",0.257422579389631,0.280595772256318,0.296925905659988,0.259969965636205,0.251336571670455,0.237388622974373,-0.0231731928666879,-0.0395033262703578,-0.00254738624657402,0.00608600771917606,0.0200339564152572,0.254319442808563,0.00310313658106731
"Sahul Brush Cuckoo",0.351549265408116,0.367171464065383,0.366186606785786,0.352088161808467,0.350103734587062,0.347958775824344,-0.0156221986572671,-0.0146373413776698,-0.000538896400351208,0.00144553082105392,0.00359048958377167,0.287577471615649,0.0639717937924665
"Pheasant Coucal",0.422399999794497,0.406266539000618,0.434055191724538,0.424151553990646,0.406620070827807,0.428685316098925,0.0161334607938791,-0.0116551919300417,-0.00175155419614975,0.0157799289666894,-0.00628531630442858,0.280395450621781,0.142004549172716
"Gray-crowned Babbler",0.634368004863605,0.710246003635289,0.691206640110374,0.646500821870932,0.648218808551601,0.637525822816316,-0.0758779987716837,-0.0568386352467689,-0.012132817007327,-0.013850803687996,-0.00315781795271131,0.262749261772979,0.371618743090626
"Red-capped Robin",0.56852197680618,0.67547808641145,0.695152293990965,0.579885405002979,0.585189838327718,0.587478975330559,-0.10695610960527,-0.126630317184785,-0.011363428196799,-0.016667861521538,-0.0189569985243793,0.456388171344003,0.091985818882854
"Fuscous Honeyeater",0.786731772988086,0.755976629849427,0.807341920855265,0.781749007906636,0.787376840748393,0.772944340429584,0.0307551431386589,-0.0206101478671793,0.00498276508144924,-0.000645067760307594,0.0137874325585015,0.654148355641144,0.132583417346942
