"species","deviance_explained","max_edf","scientific_name","Order","population_desc","in_traits"
"Brown Honeyeater",0.6541,3.47,"Lichmera indistincta","Passeriformes","Australian",TRUE
"Wonga Pigeon",0.4051,5.05,"Leucosarcia melanoleuca","Columbiformes","Endemic (entirely Australian)",TRUE
"Musk Lorikeet",0.3311,3.03,"Trichoglossus concinnus","Psittaciformes","Endemic (entirely Australian)",TRUE
"Brown Cuckoo-Dove",0.4663,4.31,"Macropygia phasianella","Columbiformes","Australian",TRUE
"Bell Miner",0.5393,3.78,"Manorina melanophrys","Passeriformes","Endemic (entirely Australian)",TRUE
"Dollarbird",0.4696,5.42,"Eurystomus orientalis","Coraciiformes","Australian",TRUE
"Australian Brushturkey",0.5079,3.39,"Alectura lathami","Galliformes","Endemic (entirely Australian)",TRUE
"Mistletoebird",0.338,3.2,"Dicaeum hirundinaceum","Passeriformes","Endemic (entirely Australian)",TRUE
"Blue-faced Honeyeater",0.5118,4.26,"Entomyzon cyanotis","Passeriformes","Australian",TRUE
"Whistling Kite",0.44,3.43,"Haliastur sphenurus","Accipitriformes","Australian",TRUE
"Nankeen Kestrel",0.2602,3.19,"Falco cenchroides","Falconiformes","Australian",TRUE
"Scarlet Myzomela",0.3514,4.02,"Myzomela sanguinolenta","Passeriformes","Australian",TRUE
"Red-whiskered Bulbul",0.5916,3.45,"Pycnonotus jocosus","Passeriformes","Introduced",TRUE
"White-bellied Sea-Eagle",0.324,2.88,"Icthyophaga leucogaster","Accipitriformes","Australian",TRUE
"Yellow-rumped Thornbill",NA,3.07,"Acanthiza chrysorrhoa","Passeriformes","Endemic (entirely Australian)",TRUE
"Variegated Fairywren",0.3361,3.1,"Malurus lamberti","Passeriformes","Endemic (entirely Australian)",TRUE
"Fan-tailed Cuckoo",0.2862,6.1,"Cacomantis flabelliformis","Cuculiformes","Australian",TRUE
"Australian Reed Warbler",0.633,4.39,"Acrocephalus australis","Passeriformes","Endemic (breeding only)",TRUE
"Striated Thornbill",0.3444,3.25,"Acanthiza lineata","Passeriformes","Endemic (entirely Australian)",TRUE
"House Sparrow",0.4924,3.04,"Passer domesticus","Passeriformes","Introduced",TRUE
"Eurasian Blackbird",0.4637,4.47,"Turdus merula","Passeriformes","Introduced",TRUE
"Bar-shouldered Dove",0.4252,3.78,"Geopelia humeralis","Columbiformes","Australian",TRUE
"Brown Gerygone",0.4992,4.04,"Gerygone mouki","Passeriformes","Endemic (entirely Australian)",TRUE
"Torresian Crow",0.6951,3.74,"Corvus orru","Passeriformes","Australian",TRUE
"Striated Pardalote",0.4766,4.66,"Pardalotus striatus","Passeriformes","Endemic (entirely Australian)",TRUE
"Pacific Koel",0.4532,5.28,"Eudynamys orientalis","Cuculiformes","Australian",TRUE
"Red-rumped Parrot",0.6601,3.79,"Psephotus haematonotus","Psittaciformes","Endemic (entirely Australian)",TRUE
"Yellow-tailed Black-Cockatoo",0.205,3.32,"Zanda funerea","Psittaciformes","Endemic (entirely Australian)",TRUE
"Sacred Kingfisher",0.41,6.93,"Todiramphus sanctus","Coraciiformes","Australian",TRUE
"Olive-backed Oriole",0.3144,5.15,"Oriolus sagittatus","Passeriformes","Australian",TRUE
"New Holland Honeyeater",0.5873,4.82,"Phylidonyris novaehollandiae","Passeriformes","Endemic (entirely Australian)",TRUE
"White-plumed Honeyeater",0.7593,3.8,"Ptilotula penicillata","Passeriformes","Endemic (entirely Australian)",TRUE
"Australasian Figbird",0.4473,3.12,"Sphecotheres vieilloti","Passeriformes","Australian",TRUE
"Pied Butcherbird",0.4261,2.85,"Cracticus nigrogularis","Passeriformes","Endemic (entirely Australian)",TRUE
"Rock Pigeon",0.5597,3.59,"Columba livia","Columbiformes","Introduced",TRUE
"Yellow Thornbill",0.3185,3.16,"Acanthiza nana","Passeriformes","Endemic (entirely Australian)",TRUE
"Noisy Friarbird",0.3738,5.84,"Philemon corniculatus","Passeriformes","Endemic (breeding only)",TRUE
"Rufous Whistler",0.5222,6.75,"Pachycephala rufiventris","Passeriformes","Australian",TRUE
"Satin Bowerbird",0.371,5.43,"Ptilonorhynchus violaceus","Passeriformes","Endemic (entirely Australian)",TRUE
"Australian King-Parrot",0.2345,5.69,"Alisterus scapularis","Psittaciformes","Endemic (entirely Australian)",TRUE
"Little Corella",0.2877,4.43,"Cacatua sanguinea","Psittaciformes","Australian",TRUE
"Spotted Pardalote",0.361,5.59,"Pardalotus punctatus","Passeriformes","Endemic (entirely Australian)",TRUE
"Spotted Dove",0.4643,3.66,"Spilopelia chinensis","Columbiformes","Introduced",TRUE
"White-throated Treecreeper",0.4595,5.91,"Cormobates leucophaea","Passeriformes","Endemic (entirely Australian)",TRUE
"Golden Whistler",0.3541,5.98,"Pachycephala pectoralis","Passeriformes","Australian",TRUE
"White-browed Scrubwren",0.3191,5.22,"Sericornis frontalis","Passeriformes","Endemic (entirely Australian)",TRUE
"Gray Shrikethrush",0.3611,5.18,"Colluricincla harmonica","Passeriformes","Australian",TRUE
"Eastern Spinebill",0.3708,4.95,"Acanthorhynchus tenuirostris","Passeriformes","Endemic (entirely Australian)",TRUE
