"CensusKey","FRic","FEve","FDis","FDiv","Q","sp_richness","ibraCode","IBRA","zonekey","formation","class","CCS","SCS","FCS","vi","LMA_cwm","seedmass_cwm","height_cwm","LA_cwm","leafN_cwm","wooddensity_cwm","classIBRA"
"CPJGI0131542",0.003033705,0.803391148,1.070134229,0.757777581,1.434228172,18,"SYB","Sydney Basin",770975,"Dry sclerophyll forests (Shrubby subformation)","Southern Tableland Dry Sclerophyll Forests",57.61584427,0.01,NA,0.759051015,2.19614355944315,0.478549471947103,0.146529134695826,2.11720463227177,1.0767852224088,-0.145560718434679,"Southern Tableland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131546",0.094255152,0.789429246,1.258458602,0.709736546,1.79382221,44,"SYB","Sydney Basin",770979,"Grassy woodlands","Tableland Clay Grassy Woodlands",95.90815173,0.01,NA,0.979327074,1.95395158779443,0.244209142913555,0.0608632816466204,2.48624413378025,1.2753085154211,-0.174150216998339,"Tableland Clay Grassy WoodlandsSydney Basin"
"CPJGI0131550",0.028091436,0.84602222,1.036657684,0.74684108,1.445903097,42,"SYB","Sydney Basin",770983,"Dry sclerophyll forests (Shrubby subformation)","Sydney Hinterland Dry Sclerophyll Forests",78.39611577,0.01,NA,0.885415811,2.22426401727527,0.455292818321063,-0.0411558719338835,2.08371751212183,1.07314366999211,-0.158777609138031,"Sydney Hinterland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131554",0.019294389,0.834862785,1.712907427,0.731101838,2.323376855,19,"SYB","Sydney Basin",770987,"Wet sclerophyll forests (Shrubby subformation)","Southern Escarpment Wet Sclerophyll Forests",56.25705588,0.01,NA,0.750047038,1.984130535717,-0.461246132836013,0.508890960211838,3.02501515562787,1.18267059458852,-0.228817634290032,"Southern Escarpment Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131558",0.011770949,0.875288889,1.140283483,0.75497054,1.549326137,27,"SYB","Sydney Basin",770991,"Heathlands","Sydney Montane Heaths",73.70330556,0.01,NA,0.858506293,2.28240389884129,-0.153395873123005,-0.0253702653521982,1.8948483357734,0.974178765905644,-0.184581722316913,"Sydney Montane HeathsSydney Basin"
"CPJGI0131566",0.079993939,0.776243531,1.782235878,0.72543734,2.445645494,41,"SYB","Sydney Basin",770999,"Dry sclerophyll forests (Shrubby subformation)","Sydney Hinterland Dry Sclerophyll Forests",82.69731103,0.01,NA,0.909380619,2.02450623870029,-0.171294371118713,0.310524770983506,2.68928107246628,1.16669011569719,-0.196896550778076,"Sydney Hinterland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131570",0.002932115,0.680185567,2.070877423,0.837641735,2.43728075,17,"SYB","Sydney Basin",771003,"Rainforests","Northern Warm Temperate Rainforests",34.39820756,0.01,NA,0.586499851,1.84822196484289,-0.381938669897044,0.812538606588859,3.0689754079265,1.13986967819758,-0.285097489947432,"Northern Warm Temperate RainforestsSydney Basin"
"CPJGI0131574",0.041097978,0.821954196,1.024845131,0.751043361,1.428489969,51,"SYB","Sydney Basin",771007,"Dry sclerophyll forests (Shrubby subformation)","Southern Tableland Dry Sclerophyll Forests",83.70082428,0.01,NA,0.914881546,2.18662963700874,0.447226212402795,-0.00996571227988963,1.91353372704492,1.06110337581973,-0.167856245099085,"Southern Tableland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131578",0.011744792,0.846738083,1.05245486,0.744702905,1.457659874,28,"SYB","Sydney Basin",771011,"Heathlands","Sydney Montane Heaths",65.34370138,0.01,NA,0.80835451,2.31741576264395,0.175522823581715,0.0257971106459973,1.7538396902296,1.00591368131536,-0.165528735120194,"Sydney Montane HeathsSydney Basin"
"CPJGI0131582",0.019899902,0.841378251,1.104347091,0.74716342,1.537648581,33,"SYB","Sydney Basin",771015,"Dry sclerophyll forests (Shrubby subformation)","Southern Tableland Dry Sclerophyll Forests",65.47986355,0.01,NA,0.80919629,2.26359721807499,0.39772486800547,0.0973035871219825,1.92797562832224,1.079610112824,-0.159150830506527,"Southern Tableland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131586",0.010770186,0.829367575,1.080289437,0.761335555,1.497536813,25,"SYB","Sydney Basin",771019,"Dry sclerophyll forests (Shrubby subformation)","Western Slopes Dry Sclerophyll Forests",79.76185776,0.01,NA,0.893094943,2.19760281658205,0.406747167210376,0.343638362275247,2.22130563479197,1.10894056172665,-0.162592651913585,"Western Slopes Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131590",0.032950671,0.779895149,1.641926597,0.775851779,2.206292553,38,"SYB","Sydney Basin",771023,"Wet sclerophyll forests (Grassy subformation)","Southern Tableland Wet Sclerophyll Forests",66.18826806,0.01,NA,0.813561725,1.94629701001284,-0.575997406233689,0.25543156587956,2.49041652172946,1.25692155380572,-0.224000978021917,"Southern Tableland Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131594",0.019175001,0.850596152,1.163121683,0.781907323,1.593232979,31,"SYB","Sydney Basin",771027,"Dry sclerophyll forests (Shrubby subformation)","Southern Tableland Dry Sclerophyll Forests",80.2637847,0.01,NA,0.895900579,2.23460426466064,0.277306392489031,0.247981316610639,2.16075716880621,1.03722729281074,-0.162949652861785,"Southern Tableland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131598",0.019491366,0.832948396,1.030928391,0.749235568,1.428637516,41,"SYB","Sydney Basin",771031,"Dry sclerophyll forests (Shrubby subformation)","Sydney Hinterland Dry Sclerophyll Forests",80.21678389,0.01,NA,0.89563823,2.22357057523571,0.412407710167107,-0.0551895495587519,1.82465175069479,1.05776145706166,-0.15927535617895,"Sydney Hinterland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131602",0.056232439,0.803057582,1.350932524,0.74398342,1.891524981,28,"SYB","Sydney Basin",771035,"Grassy woodlands","Tableland Clay Grassy Woodlands",90.62680839,0.01,NA,0.951981136,2.07410241284661,-0.132412650269786,0.162181776343331,2.61693238957367,1.21329421913553,-0.167633673973449,"Tableland Clay Grassy WoodlandsSydney Basin"
"CPJGI0131606",0.041370339,0.823751454,1.803925176,0.735669436,2.439065526,25,"SYB","Sydney Basin",771039,"Wet sclerophyll forests (Shrubby subformation)","Southern Escarpment Wet Sclerophyll Forests",84.71947407,0.01,NA,0.920431823,1.98704769357468,-0.816585204075441,0.287537685569854,2.87676806514847,1.19901640485524,-0.216211362095212,"Southern Escarpment Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131610",0.018411829,0.846493932,1.174301228,0.7463028,1.61292126,36,"SYB","Sydney Basin",771043,"Dry sclerophyll forests (Shrubby subformation)","Sydney Hinterland Dry Sclerophyll Forests",82.22064003,0.01,NA,0.906755976,2.19086447981877,0.568100563671315,0.0938283886668075,2.21943483139936,1.04326001177385,-0.180020238927599,"Sydney Hinterland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131614",0.071444029,0.751263074,1.516471167,0.750811381,2.113286116,30,"SYB","Sydney Basin",771047,"Dry sclerophyll forests (Shrub/grass subformation)","Central Gorge Dry Sclerophyll Forests",65.34495473,0.01,NA,0.808362262,2.05650785084524,0.000368044405549512,0.119622252749511,2.344222094711,1.23069926558882,-0.174779748590361,"Central Gorge Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131618",0.058896662,0.846925462,1.397440854,0.752516262,1.939170607,34,"SYB","Sydney Basin",771051,"Wet sclerophyll forests (Grassy subformation)","Northern Hinterland Wet Sclerophyll Forests",81.74140292,0.01,NA,0.904109523,2.00842879587693,0.25558946907459,0.215532042156852,2.36426317656478,1.18447211541907,-0.166898121160626,"Northern Hinterland Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131473",0.01025963,0.783306527,1.373899327,0.724563666,1.91916134,20,"SYB","Sydney Basin",770906,"Dry sclerophyll forests (Shrubby subformation)","Southern Tableland Dry Sclerophyll Forests",67.18395582,0.01,NA,0.819658196,2.2332400402395,0.710810330223828,0.144298605200037,1.88618565952649,1.05678698205112,-0.1570010047476,"Southern Tableland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131477",0.019187781,0.828035005,1.12089853,0.758233604,1.546100572,35,"SYB","Sydney Basin",770910,"Dry sclerophyll forests (Shrubby subformation)","Western Slopes Dry Sclerophyll Forests",85.76779797,0.01,NA,0.926109054,2.22875470595633,0.54446998555588,0.0161411900901705,2.06974112604206,1.0689972803267,-0.170251255514198,"Western Slopes Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131481",0.014887422,0.793121131,1.358192633,0.738055612,1.87578143,19,"SYB","Sydney Basin",770914,"Dry sclerophyll forests (Shrubby subformation)","Western Slopes Dry Sclerophyll Forests",68.19087372,0.01,NA,0.825777656,2.37240619045642,0.860025645615046,0.400067197533821,2.10589886759322,1.03049697546283,-0.17263586766292,"Western Slopes Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131485",0.009422661,0.854688672,1.328386571,0.76919879,1.819978998,23,"SYB","Sydney Basin",770918,"Freshwater wetlands","Montane Bogs and Fens",89.17545062,0.01,NA,0.944327542,2.12810207802976,-1.00871663493577,-0.248032191583721,2.35125440229961,1.09404518366784,-0.197148005589496,"Montane Bogs and FensSydney Basin"
"CPJGI0131489",0.033773189,0.799496752,1.243107464,0.807055032,1.677496041,49,"SYB","Sydney Basin",770922,"Dry sclerophyll forests (Shrubby subformation)","Southern Tableland Dry Sclerophyll Forests",89.30313787,0.01,NA,0.945003375,2.15181493242421,-0.15774477603833,-0.085014223794363,2.10045858619032,1.10369945208933,-0.16727091748238,"Southern Tableland Dry Sclerophyll ForestsSydney Basin"
"CPJGI0131493",0.093399808,0.789817634,1.556904758,0.774554274,2.121136252,42,"SYB","Sydney Basin",770926,"Forested wetlands","Coastal Swamp Forests",77.05745569,0.01,NA,0.877823762,1.959241099102,-0.58703873216446,-0.036142135527306,2.4230129267287,1.25915871717326,-0.192118841753733,"Coastal Swamp ForestsSydney Basin"
"CPJGI0131497",0.033849695,0.8808706,1.401035951,0.782935518,1.928440294,25,"SYB","Sydney Basin",770930,"Freshwater wetlands","Montane Bogs and Fens",89.17545062,0.01,NA,0.944327542,1.994739778461,-0.428530613469223,-0.261817089327146,2.48980128636238,1.20861024323938,-0.185148795430686,"Montane Bogs and FensSydney Basin"
"CPJGI0131501",0.031741471,0.76453522,1.283480219,0.702223756,1.835299026,26,"SYB","Sydney Basin",770934,"Wet sclerophyll forests (Grassy subformation)","Southern Tableland Wet Sclerophyll Forests",85.2491967,0.01,NA,0.923304915,1.9425573232571,0.106201087342287,0.0622399993043626,2.66016893104443,1.25090505118661,-0.20095638497657,"Southern Tableland Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131505",0.038766063,0.797449713,1.38157895,0.811725367,1.863977806,47,"SYB","Sydney Basin",770938,"Wet sclerophyll forests (Grassy subformation)","Southern Tableland Wet Sclerophyll Forests",79.74844682,0.01,NA,0.893019859,1.97311308391433,0.0771639208370103,-0.21209777100864,1.98484213295429,1.2608599157574,-0.16255464752676,"Southern Tableland Wet Sclerophyll ForestsSydney Basin"
"CPJGI0131509",0.008189929,0.869244461,1.241274694,0.775932076,1.685555849,21,"SYB","Sydney Basin",770942,"Dry sclerophyll forests (Shrubby subformation)","Western Slopes Dry Sclerophyll Forests",50.93506591,0.01,NA,0.713688068,2.27698906974019,0.491389588645108,0.345446732501448,2.34938234144218,1.09965385767313,-0.148739539907859,"Western Slopes Dry Sclerophyll ForestsSydney Basin"
